CWPP Name (HIDE),CWPP Name (CLICK FOR PDF),Jurisdiction Level,County,State,Year Published,Update/Revision of Former CWPP,Prepared by Private Consultants,CWPP Boundary Area (Square Kilometers),Source of CWPP Boundary
Carroll Lakes,<a href='https://drive.google.com/file/d/1aZ--AUKmbZ9wkl8QEtx0aQnSsSRfRCwV/view?usp=drivesdk' target='_blank'>Carroll Lakes </a>,Community,El Paso,CO,2014,0,1,13.02,Colorado Forest Atlas
Cochise,<a href='https://drive.google.com/file/d/16yd0agQ2gUj6kRoDFSedl76pGhhPZR8R/view?usp=drivesdk' target='_blank'>Cochise</a>,County,Cochise,AZ,2014,0,1,16106.87,"US Census Bureau, 2018 Cartographic Boundary Files"
Crook,<a href='https://drive.google.com/file/d/1FA2oH6Nhz7Ytd8vqRqrE_3QkR0gIi_Uk/view?usp=drivesdk' target='_blank'>Crook </a>,County,Crook,OR,2014,1,1,7737.06,Oregon Spatial Data Library
Deer Park,<a href='https://drive.google.com/file/d/1AirFCReaRwhxfiXOB7bdT74osGl-VVkP/view?usp=drivesdk' target='_blank'>Deer Park </a>,Community,Napa,CA,2014,0,0,13.65,CWPP
East Canyon,<a href='https://drive.google.com/file/d/1VpUkP_X9XdEUMo0noDmjgTduiZBrx5Qm/view?usp=drivesdk' target='_blank'>East Canyon </a>,Community,"Montezuma, La Plata",CO,2014,0,0,10.13,CWPP
El Capitan,<a href='https://drive.google.com/file/d/1XqcFAQoXHjwy3-XYAs2LMPehJni4iQoY/view?usp=drivesdk' target='_blank'>El Capitan </a>,Community,San Diego,CA,2014,0,0,185.67,CWPP
Franklin,<a href='https://drive.google.com/file/d/1JWPLdjkv0K6uQ_5z9zYRjMm3D3nhpati/view?usp=drivesdk' target='_blank'>Franklin </a>,County,Franklin,WA,2014,0,1,1729.22,"US Census Bureau, 2018 Cartographic Boundary Files"
Fremont,<a href='https://drive.google.com/file/d/18dXaze1z9YL7oeiS6nBNEbia6mH_B2N7/view?usp=drivesdk' target='_blank'>Fremont </a>,County,Fremont,WY,2014,1,1,4910.64,"US Census Bureau, 2018 Cartographic Boundary Files"
Greater Sage Port,<a href='https://drive.google.com/file/d/1o8SizIP7eNeVnvLNXG1w4PEm51kTO910/view?usp=drivesdk' target='_blank'>Greater Sage Port </a>,Community,Douglas,CO,2014,0,0,43.33,CWPP
Greater Sisters,<a href='https://drive.google.com/file/d/13NJjpWxYhTTE0AfWjUzVq59v1SUxyEGR/view?usp=drivesdk' target='_blank'>Greater Sisters </a>,Community,Deschutes,OR,2014,0,0,1035.22,Oregon Spatial Data Library
Groom Creek,<a href='https://drive.google.com/file/d/1FUk_Xmhx2qYrsGAIdcqfJ1ILif-c9wB5/view?usp=drivesdk' target='_blank'>Groom Creek</a>,Community,Yavapai,AZ,2014,0,0,46.75,CWPP
High Forest Ranch,<a href='https://drive.google.com/file/d/1EIfR4_zNFVZ5U4vt7Nr46zFCgXEdhCE_/view?usp=drivesdk' target='_blank'>High Forest Ranch </a>,Community,El Paso,CO,2014,0,1,4,CWPP
Highland Lakes,<a href='https://drive.google.com/file/d/1zufpWxeTTnpSYG2PaKphsrhAVDqHPLNM/view?usp=drivesdk' target='_blank'>Highland Lakes </a>,Community,Teller,CO,2014,0,0,4.3,CWPP
Lakehills & Southpointe,<a href='https://drive.google.com/file/d/1zo8z9MpOPlLocViNVDZ3oJzNcAfrQaE7/view?usp=drivesdk' target='_blank'>Lakehills & Southpointe </a>,Community,El Dorado,CA,2014,0,1,1.21,CWPP
Lincoln,<a href='https://drive.google.com/file/d/1drLlOAnlqHh8L0M5bFPQ1LNWk7wPZfGQ/view?usp=drivesdk' target='_blank'>Lincoln </a>,County,Lincoln,NM,2014,0,0,3123.21,"US Census Bureau, 2018 Cartographic Boundary Files"
Madison,<a href='https://drive.google.com/file/d/1lbXy1_Z7bhY4qsUfp4DRDWK3bU8NraFR/view?usp=drivesdk' target='_blank'>Madison </a>,County,Madison,MT,2014,0,1,1225.78,"US Census Bureau, 2018 Cartographic Boundary Files"
Maricopa,<a href='https://drive.google.com/file/d/1nEwvI802lZ3lKzF8SCYzJv56Mdkgce29/view?usp=drivesdk' target='_blank'>Maricopa</a>,County,Maricopa,AZ,2014,1,1,23891.12,"US Census Bureau, 2018 Cartographic Boundary Files"
Meagher,<a href='https://drive.google.com/file/d/1GNdIFYjLFXJQZEUNEnzjJbp6JOI6iXr8/view?usp=drivesdk' target='_blank'>Meagher </a>,County,Meagher,MT,2014,0,1,6202.62,"US Census Bureau, 2018 Cartographic Boundary Files"
Monrovia,<a href='https://drive.google.com/file/d/1a6r1kNrWEmUuRSVuOXJNssf-GntQLdqS/view?usp=drivesdk' target='_blank'>Monrovia</a>,Community,Los Angeles,CA,2014,0,0,35.52,"US Census Bureau, 2016 TIGER Place"
Otero,<a href='https://drive.google.com/file/d/1GNg0zCcShzyEEYHHJCWeub__YhlL3Ejc/view?usp=drivesdk' target='_blank'>Otero </a>,County,Otero,NM,2014,0,1,3288.98,"US Census Bureau, 2018 Cartographic Boundary Files"
Park,<a href='https://drive.google.com/file/d/1FVsamJKtVQuegbszEyOpta5xwx9ibUxo/view?usp=drivesdk' target='_blank'>Park </a>,County,Park,MT,2014,0,1,5726.05,"US Census Bureau, 2018 Cartographic Boundary Files"
Pine Ridge,<a href='https://drive.google.com/file/d/1WPW2MNOEFA3AnW9o8q50_KSBJ_1UxlM6/view?usp=drivesdk' target='_blank'>Pine Ridge </a>,Community,Douglas,CO,2014,0,0,0.18,Colorado Forest Atlas
Pitkin,<a href='https://drive.google.com/file/d/1gY7H2A6cbMSu-PnkOyyIcIECRgYd_689/view?usp=drivesdk' target='_blank'>Pitkin </a>,County,Pitkin,CO,2014,0,0,2520.52,Colorado Forest Atlas
Ponderosa Park,<a href='https://drive.google.com/file/d/10gXOwz8ZJiHK4d5zjGswWf0h8frw9K0J/view?usp=drivesdk' target='_blank'>Ponderosa Park </a>,Community,Klickitat,WA,2014,0,0,4.48,CWPP
Sacramento,<a href='https://drive.google.com/file/d/12sfnOsnVePhLP_dEzUm_pYKmQF7w9KqA/view?usp=drivesdk' target='_blank'>Sacramento </a>,County,Sacramento,CA,2014,0,1,2575.26,"US Census Bureau, 2018 Cartographic Boundary Files"
Sierra,<a href='https://drive.google.com/file/d/1ICL_AIrO-bqWElj4WLqQRRTvTtVMZCJS/view?usp=drivesdk' target='_blank'>Sierra</a>,County,Sierra,CA,2014,1,1,2491.99,"US Census Bureau, 2018 Cartographic Boundary Files"
Southwest Canon,<a href='https://drive.google.com/file/d/15RuV1Eb6w9lK0-YPiI8nT1g0LDetcL3S/view?usp=drivesdk' target='_blank'>Southwest Canon </a>,Community,Fremont,CO,2014,0,1,50.06,CWPP
Spirit Lakes,<a href='https://drive.google.com/file/d/1Ig6uWSZESt-ASAm-CUN7UZvU5IXUaRLQ/view?usp=drivesdk' target='_blank'>Spirit Lakes </a>,Community,El Paso,CO,2014,0,0,14.3,Colorado Forest Atlas
Stonewall,<a href='https://drive.google.com/file/d/1RCOhhDQJdsLvJYayXsddr2tt47Uz3Fiz/view?usp=drivesdk' target='_blank'>Stonewall </a>,Fire Protection District,Las Animas,CO,2014,0,0,1362.89,CWPP
Teton,<a href='https://drive.google.com/file/d/1-A8_3VsoqVkS2G2IjjKQcfsLpe6QUlC-/view?usp=drivesdk' target='_blank'>Teton </a>,County,Teton,WY,2014,1,0,1166.56,"US Census Bureau, 2018 Cartographic Boundary Files"
Vallecito,<a href='https://drive.google.com/file/d/1n9FIRH_ScX_8e-NO2hBL1rqampYkMiSm/view?usp=drivesdk' target='_blank'>Vallecito </a>,Community,La Plata,CO,2014,0,0,116.19,CWPP
Wolf Creek,<a href='https://drive.google.com/file/d/1FGP85KfGh0cNa-HMgZ38QJ61De58hXX3/view?usp=drivesdk' target='_blank'>Wolf Creek </a>,Fire Protection District,Josephine,OR,2014,0,0,84.19,CWPP
Wyoming Army National Guard,<a href='https://drive.google.com/file/d/1AT0ORgUJv6cXmEXdUJAITwwFCLfKI-w0/view?usp=drivesdk' target='_blank'>Wyoming Army National Guard</a>,Community,Cheyenne,WY,2014,0,1,325.66,CWPP
Albany,<a href='https://drive.google.com/file/d/1hrEXH73M5PmcHiJwh6yyoVRn2FBLfLIc/view?usp=drivesdk' target='_blank'>Albany </a>,County,Albany,WY,2013,1,1,11157.22,"US Census Bureau, 2018 Cartographic Boundary Files"
Auburn Lake Trails,<a href='https://drive.google.com/file/d/16zfClh2NMbcy_Hj7qNWoKjXagRjzcvkc/view?usp=drivesdk' target='_blank'>Auburn Lake Trails </a>,Community,El Dorado,CA,2013,1,0,9.86,CWPP
Benewah,<a href='https://drive.google.com/file/d/1Np8g0B260VJfET0PXKlCgblpkXfhS4st/view?usp=drivesdk' target='_blank'>Benewah</a>,County,Benewah,ID,2013,1,0,2031.11,"US Census Bureau, 2018 Cartographic Boundary Files"
Blanding Watershed,<a href='https://drive.google.com/file/d/1JX1DDcDRb644Yd81hPCDaKu_NIM9UVsn/view?usp=drivesdk' target='_blank'>Blanding Watershed</a>,Community,San Juan,UT,2013,0,0,34.21,"US Census Bureau, 2016 TIGER Place"
Castle Valley,<a href='https://drive.google.com/file/d/1y2aohXfBemP5Ls8zgFAdHX4f5WECEkH3/view?usp=drivesdk' target='_blank'>Castle Valley</a>,Community,Grand,UT,2013,0,0,22.77,"US Census Bureau, 2016 TIGER Place"
Crystal Park,<a href='https://drive.google.com/file/d/1rhz8Wb_Rbci2yZ1qkn5CGNXvdX1OQjW3/view?usp=drivesdk' target='_blank'>Crystal Park </a>,Community,El Paso,CO,2013,0,0,7.15,Colorado Forest Atlas
Douglas,<a href='https://drive.google.com/file/d/1A0CY--v4116JNzv2GDaOLvbIc50JsOh6/view?usp=drivesdk' target='_blank'>Douglas </a>,County,Douglas,WA,2013,0,1,13130.86,"US Census Bureau, 2018 Cartographic Boundary Files"
Echo Canyon Ranch,<a href='https://drive.google.com/file/d/1owUGl4qBYv3AFIJzALSsszE7u9-RCWiY/view?usp=drivesdk' target='_blank'>Echo Canyon Ranch </a>,Community,Archuleta,CO,2013,0,0,5.56,Colorado Forest Atlas
Folsom,<a href='https://drive.google.com/file/d/1XWU-67JP3KIgrvdtl1HYZNxUyJyULCxt/view?usp=drivesdk' target='_blank'>Folsom </a>,Community,Sacramento,CA,2013,0,0,77.87,"US Census Bureau, 2016 TIGER Place"
Four Mile-Currant Creek,<a href='https://drive.google.com/file/d/1J6FELUx_yhYESgRsR9Xrk8uuulUSaWNu/view?usp=drivesdk' target='_blank'>Four Mile-Currant Creek </a>,Community,"Freemont, Park, Teller",CO,2013,0,0,1115.72,Colorado Forest Atlas
Garden Park,<a href='https://drive.google.com/file/d/1OcQSqXavD9ML4ccENN4xnnLT54UjTvX1/view?usp=drivesdk' target='_blank'>Garden Park </a>,Community,Fremont,CO,2013,0,1,152.21,CWPP
Granite Springs Retreat,<a href='https://drive.google.com/file/d/1OvpiLAQzn5iI-xb67XW8IN5vknj0cuIS/view?usp=drivesdk' target='_blank'>Granite Springs Retreat </a>,Community,Laramie,WY,2013,0,0,2.85,CWPP
Greater Pine Grove,<a href='https://drive.google.com/file/d/1MzBBenjFwe_JTZAjR6wH1npGvUigVZHk/view?usp=drivesdk' target='_blank'>Greater Pine Grove </a>,Community,Amador,CA,2013,0,0,124.92,CWPP
Harney,<a href='https://drive.google.com/file/d/1Y8Hy_gEjIL_kGrtHNDhJg7OomGFzeuBQ/view?usp=drivesdk' target='_blank'>Harney </a>,County,Harney,OR,2013,0,1,26486.58,Oregon Spatial Data Library
Indian Springs (Plan unavailable),Indian Springs (Plan unavailable),Community,Fremont,CO,2013,0,1,5.86,Colorado Forest Atlas
McKinley,<a href='https://drive.google.com/file/d/1LZyXpIlpBp4UdGtt6Qn0l9ftQgGvUrl8/view?usp=drivesdk' target='_blank'>McKinley </a>,County,McKinley,NM,2013,0,0,14130.89,"US Census Bureau, 2018 Cartographic Boundary Files"
Okanogan,<a href='https://drive.google.com/file/d/1w0dDsFkHNxej_s1WlO7t6bcpkAs4J_gd/view?usp=drivesdk' target='_blank'>Okanogan </a>,County,Okanogan,WA,2013,0,1,13760.11,"US Census Bureau, 2018 Cartographic Boundary Files"
Otero,<a href='https://drive.google.com/file/d/1KVNhOzkuALSxlZU2n3m2KKmEM71xb42f/view?usp=drivesdk' target='_blank'>Otero </a>,County,Otero,CO,2013,0,0,3288.98,CWPP
Pima,<a href='https://drive.google.com/file/d/1hU5kaU6x2oLxV0SypbU65y6VyPzQ7y0z/view?usp=drivesdk' target='_blank'>Pima</a>,County,Pima,AZ,2013,0,1,23799.76,"US Census Bureau, 2018 Cartographic Boundary Files"
Rainbow Services Incorporated,<a href='https://drive.google.com/file/d/1OeSLCKDRx1i5B-JWgYx4hmOUoTJWehta/view?usp=drivesdk' target='_blank'>Rainbow Services Incorporated </a>,Community,Gunnison,CO,2013,0,0,1.3,CWPP
Rancho Mira Sol,<a href='https://drive.google.com/file/d/10_4GLn46eEXKpXwvBF2hgfI8da1mMrRS/view?usp=drivesdk' target='_blank'>Rancho Mira Sol </a>,Community,La Plata,CO,2013,0,1,4.92,Colorado Forest Atlas
Ray Mesa-Old La Sal-Geyser Pass,<a href='https://drive.google.com/file/d/10ZKgUX3oPc2_W54iKTZ6JruOgixTvgv9/view?usp=drivesdk' target='_blank'>Ray Mesa-Old La Sal-Geyser Pass</a>,Community,San Juan,UT,2013,0,0,385.09,CWPP
Real East,<a href='https://drive.google.com/file/d/1IDgCsMpmm6Z5_FzADTmNa6Lutgc9ECdf/view?usp=drivesdk' target='_blank'>Real East </a>,County,San Diego,CA,2013,0,0,103.92,CWPP
San Juan,<a href='https://drive.google.com/file/d/1yJduzhremcINT8AEMXG6S-N77IleBoO8/view?usp=drivesdk' target='_blank'>San Juan </a>,County,San Juan,CO,2013,0,0,453.93,Colorado Forest Atlas
San Luis Obispo,<a href='https://drive.google.com/file/d/1tQpbjXirV5VmdVCdb-HrF6NsXywRUe92/view?usp=drivesdk' target='_blank'>San Luis Obispo </a>,County,San Luis Obispo,CA,2013,1,0,9364.13,"US Census Bureau, 2018 Cartographic Boundary Files"
Santa Monica Mountains,<a href='https://drive.google.com/file/d/1a6geXbRnpW1VFJX1asyxhX3yqPuereZk/view?usp=drivesdk' target='_blank'>Santa Monica Mountains </a>,Community,"Los Angeles, Ventura",CA,2013,1,1,516.84,CWPP
Seeley-Swan,<a href='https://drive.google.com/file/d/1qKLoNbA9Jdp-k9nO4bKZTzZE4keCX27r/view?usp=drivesdk' target='_blank'>Seeley-Swan </a>,Community,Missoula,MT,2013,0,0,1214.63,CWPP
Shield O Terrace,<a href='https://drive.google.com/file/d/107_vTScyhxe-Xv4HBXAOeGO5BUQnzV9Q/view?usp=drivesdk' target='_blank'>Shield O Terrace </a>,Community,Pitkin,CO,2013,0,0,1.07,CWPP
Sunshine,<a href='https://drive.google.com/file/d/1FrS2wAWXbkYKlTJA86JmF7SO31uEkLBf/view?usp=drivesdk' target='_blank'>Sunshine </a>,Fire Protection District,Boulder,CO,2013,0,0,8.36,Colorado Forest Atlas
Ada,<a href='https://drive.google.com/file/d/1mMFF-aaPAHZgGdOYoXiYHMIlED323Ojt/view?usp=drivesdk' target='_blank'>Ada </a>,County,Ada,ID,2012,1,1,2746.95,"US Census Bureau, 2018 Cartographic Boundary Files"
Atlas Peak,<a href='https://drive.google.com/file/d/19l4kp2-Xi6ime9k84ZKX8Zgh45jtvKKb/view?usp=drivesdk' target='_blank'>Atlas Peak </a>,Community,Napa,CA,2012,0,0,106.69,CWPP
Baker,<a href='https://drive.google.com/file/d/1Xc9bwy0cyCdb50ffvEtuvZTtSjTQh_dF/view?usp=drivesdk' target='_blank'>Baker </a>,County,Baker,OR,2012,1,0,7998.68,Oregon Spatial Data Library
Blaine,<a href='https://drive.google.com/file/d/1jJ8sDOw2hKdauVAqdtw-mpXD9tpqkbzX/view?usp=drivesdk' target='_blank'>Blaine</a>,County,Blaine,ID,2012,1,0,6876.07,"US Census Bureau, 2018 Cartographic Boundary Files"
Bonner,<a href='https://drive.google.com/file/d/12-B-pRmZgEc6NOIuSwkKomApUssQjxmX/view?usp=drivesdk' target='_blank'>Bonner</a>,County,Bonner,ID,2012,1,1,4967.49,"US Census Bureau, 2018 Cartographic Boundary Files"
Boundary,<a href='https://drive.google.com/file/d/1Jf-LxuN9nA2tkGpm_JNDaGUl6bNLzY4G/view?usp=drivesdk' target='_blank'>Boundary</a>,County,Boundary,ID,2012,1,0,3310.39,"US Census Bureau, 2018 Cartographic Boundary Files"
Butte,<a href='https://drive.google.com/file/d/1i6PU7m5MCprXRCJgOqupSwM5Kntvl_3n/view?usp=drivesdk' target='_blank'>Butte </a>,County,Butte,CA,2012,1,0,5798,"US Census Bureau, 2018 Cartographic Boundary Files"
Carbon,<a href='https://drive.google.com/file/d/19EYAHnMn2xafWxW9KefwISo5ZZBnVOLp/view?usp=drivesdk' target='_blank'>Carbon </a>,County,Carbon,MT,2012,0,0,5338.48,"US Census Bureau, 2018 Cartographic Boundary Files"
Carmel Highlands,<a href='https://drive.google.com/file/d/1EWJ2d4dDIZ6Q7_lPkq4eXEjyV4L-F8W1/view?usp=drivesdk' target='_blank'>Carmel Highlands</a>,Community,Monterey,CA,2012,0,0,62.66,CWPP
Cherokee Meadows,<a href='https://drive.google.com/file/d/1AR5XrADmm0P-qBfXUJKvfxBSUo4SVPbr/view?usp=drivesdk' target='_blank'>Cherokee Meadows </a>,Community,Larimer,CO,2012,1,0,939.72,Colorado Forest Atlas
Coolwater and Los Pinos,<a href='https://drive.google.com/file/d/1XSuUylg1yzl-xXErG1_eA24N6auVwmZ0/view?usp=drivesdk' target='_blank'>Coolwater and Los Pinos </a>,Community,La Plata,CO,2012,0,1,0.38,Colorado Forest Atlas
Cowychee Mountain,<a href='https://drive.google.com/file/d/1tq6M5CHbY8ThB8-aZ65axsPeZEZ6BR-Z/view?usp=drivesdk' target='_blank'>Cowychee Mountain </a>,Community,Yakima,WA,2012,0,0,990.58,CWPP
Dona Ana,<a href='https://drive.google.com/file/d/1jLML_hk5DHxkNJfMijWKgRzRc-Qk-6sI/view?usp=drivesdk' target='_blank'>Dona Ana </a>,County,Dona Ana,NM,2012,0,1,9880.77,"US Census Bureau, 2018 Cartographic Boundary Files"
Eastern Arapahoe,<a href='https://drive.google.com/file/d/1rSbzCo-MSVoQb0L8SMrxvVk9Yz56Fh-9/view?usp=drivesdk' target='_blank'>Eastern Arapahoe </a>,County,Arapahoe,CO,2012,0,0,2086.08,Colorado Forest Atlas
Edgemont Highlands,<a href='https://drive.google.com/file/d/1LckXH627LUm5-xiKmhEZa5jCKxoyvBdq/view?usp=drivesdk' target='_blank'>Edgemont Highlands </a>,Community,La Plata,CO,2012,0,1,1.07,Colorado Forest Atlas
Flagstaff,<a href='https://drive.google.com/file/d/18ER6qUb4ZiecRFV9pGFik4dUOKQ84K4c/view?usp=drivesdk' target='_blank'>Flagstaff</a>,Community,Coconino,AZ,2012,1,0,3580.59,CWPP
Foothills,<a href='https://drive.google.com/file/d/11boFWms9pV9pW5Vt0YpPV9zKnMVApznh/view?usp=drivesdk' target='_blank'>Foothills </a>,Community,King,WA,2012,0,1,65.31,CWPP
Fremont,<a href='https://drive.google.com/file/d/1eZr9OIiUr-bW1EfTMW3kj8RyCoQ8Fn-E/view?usp=drivesdk' target='_blank'>Fremont </a>,County,Fremont,WY,2012,0,1,4910.64,"US Census Bureau, 2018 Cartographic Boundary Files"
Garfield,<a href='https://drive.google.com/file/d/1vmoUExWDDvYcswYljzONnpbt0JG3P35g/view?usp=drivesdk' target='_blank'>Garfield </a>,County,Garfield,CO,2012,0,1,1860.43,Colorado Forest Atlas
Goleta,<a href='https://drive.google.com/file/d/1eBl6o1kspkkf_s438WiMIyHG_X9YrSwI/view?usp=drivesdk' target='_blank'>Goleta </a>,Community,Santa Barbara,CA,2012,1,1,20.89,CWPP
Gooding,<a href='https://drive.google.com/file/d/1SEFt0RqiRsfV7I3ij7P7OM4qEHinOEAQ/view?usp=drivesdk' target='_blank'>Gooding </a>,County,Gooding,ID,2012,1,0,1901.24,"US Census Bureau, 2018 Cartographic Boundary Files"
Government Camp,<a href='https://drive.google.com/file/d/1lMlLkg7yTbE_S9tzCjSXvyckOS0nQCzn/view?usp=drivesdk' target='_blank'>Government Camp </a>,Community,Multnomah,OR,2012,0,0,0.75,CWPP
Greater Surrey Ridge,<a href='https://drive.google.com/file/d/1p4pFyZogq3tGN7m0QTEdF-MWIpEXtUnv/view?usp=drivesdk' target='_blank'>Greater Surrey Ridge </a>,Community,Douglas,CO,2012,0,0,2.45,Colorado Forest Atlas
Grizzly Flats,<a href='https://drive.google.com/file/d/1fjWHh_YwbpjAAg-dc4lyaOMSWZkXAMgS/view?usp=drivesdk' target='_blank'>Grizzly Flats </a>,Community,El Dorado,CA,2012,1,1,100.13,CWPP
Heartwood Ranch,<a href='https://drive.google.com/file/d/1VStmnKrUXPO7eLXNNkqQiGPKkZCMQn_v/view?usp=drivesdk' target='_blank'>Heartwood Ranch </a>,Community,La Plata,CO,2012,0,1,1.43,Colorado Forest Atlas
Jefferson,<a href='https://drive.google.com/file/d/1qNQPjPJrVapOIp6McNFFVxW_qqUa5z-n/view?usp=drivesdk' target='_blank'>Jefferson </a>,County,Jefferson,CO,2012,0,0,2863.95,Colorado Forest Atlas
Kootenai,<a href='https://drive.google.com/file/d/1yRn-BTaooqW48i5oM8hcT8ivt0gPl1gk/view?usp=drivesdk' target='_blank'>Kootenai</a>,County,Kootenai,ID,2012,1,0,3391.08,"US Census Bureau, 2018 Cartographic Boundary Files"
Lake Alice,<a href='https://drive.google.com/file/d/1TZSyB158oRzJl80ts73mMbdWvxG3edjo/view?usp=drivesdk' target='_blank'>Lake Alice </a>,Community,King,WA,2012,0,1,1.63,CWPP
Log Hill Mesa,<a href='https://drive.google.com/file/d/1k8pe2H1whWCS4TLr77wqL8ij5D42HzWc/view?usp=drivesdk' target='_blank'>Log Hill Mesa </a>,Fire Protection District,Ouray,CO,2012,0,0,151.71,Colorado Forest Atlas
Los Ranchitos Estates,<a href='https://drive.google.com/file/d/1KOhifOBOISFmvB8sOweTuiODdZlri1Br/view?usp=drivesdk' target='_blank'>Los Ranchitos Estates </a>,Community,La Plata,CO,2012,0,1,1.02,Colorado Forest Atlas
Mason,<a href='https://drive.google.com/file/d/1bsCgslLfisC6p6yxKtTRIvgB5Cs0prsl/view?usp=drivesdk' target='_blank'>Mason</a>,County,Mason,WA,2012,0,0,2732.39,"US Census Bureau, 2018 Cartographic Boundary Files"
Mesa,<a href='https://drive.google.com/file/d/18hxP3xHrKLjt35bJUSuJYsfhi62QH6X1/view?usp=drivesdk' target='_blank'>Mesa </a>,County,Mesa,CO,2012,0,1,8651.21,Colorado Forest Atlas
Northeast Hobart,<a href='https://drive.google.com/file/d/1o21RU1UXS2VZLGzZKFJCq-ac-M4X0RHa/view?usp=drivesdk' target='_blank'>Northeast Hobart </a>,Community,King,WA,2012,0,1,0.59,CWPP
Orleans/Somes Bar,<a href='https://drive.google.com/file/d/1brkgzTui5wLMrRQYUCWzvmiO5XpPy8pM/view?usp=drivesdk' target='_blank'>Orleans/Somes Bar </a>,Community,"Humboldt, Siskiyou, Del Norte",CA,2012,1,0,1349.8,CWPP
Perry and Park Ridges Pines,<a href='https://drive.google.com/file/d/10Z2__xKtTVlQ30_2WsVVxcz_WpMsVmRH/view?usp=drivesdk' target='_blank'>Perry and Park Ridges Pines </a>,Community,Douglas,CO,2012,0,0,3.97,Colorado Forest Atlas
Pine River Ranches,<a href='https://drive.google.com/file/d/143oo61Rpe1nB9KB67ka7ohXK5jIyJi5r/view?usp=drivesdk' target='_blank'>Pine River Ranches </a>,Community,La Plata,CO,2012,0,1,1.17,Colorado Forest Atlas
Placer,<a href='https://drive.google.com/file/d/123N6_G7KGoujpGnGPp6NVEd-zhWvt9aS/view?usp=drivesdk' target='_blank'>Placer </a>,County,Placer,CA,2012,0,1,3890.82,"US Census Bureau, 2018 Cartographic Boundary Files"
Ridgewood Estates,<a href='https://drive.google.com/file/d/11_SF1COtYczUOkX_obdB6mDFJsv_eEi6/view?usp=drivesdk' target='_blank'>Ridgewood Estates </a>,Community,Benton,OR,2012,0,0,0.39,CWPP
Rio Blanco,<a href='https://drive.google.com/file/d/1_FpaCIrzJThPbk8T6aIUW-nkVPX7bKYy/view?usp=drivesdk' target='_blank'>Rio Blanco </a>,County,Rio Blanco,CO,2012,0,1,8346.97,Colorado Forest Atlas
Salishan Hills,<a href='https://drive.google.com/file/d/1JcZ-RnmsflsBfi1wVGTjdD6iws_O7YSz/view?usp=drivesdk' target='_blank'>Salishan Hills </a>,Community,Lincoln,OR,2012,0,0,1,CWPP
San Juan,<a href='https://drive.google.com/file/d/15vOudj8UpZ1UkQC6CW6XNrcCZ3c1joCa/view?usp=drivesdk' target='_blank'>San Juan </a>,County,San Juan,WA,2012,0,1,453.93,"US Census Bureau, 2018 Cartographic Boundary Files"
Soda Canyon,<a href='https://drive.google.com/file/d/1dgybDAkv8-hfur35u3W_e5Y7dq8kktUu/view?usp=drivesdk' target='_blank'>Soda Canyon </a>,Community,Napa,CA,2012,0,0,119.47,CWPP
Timberdale Ranch,<a href='https://drive.google.com/file/d/1iFl7tj4PN0biIGB8GbKOSrzF4WsQtZ2j/view?usp=drivesdk' target='_blank'>Timberdale Ranch </a>,Community,La Plata,CO,2012,0,1,2.39,Colorado Forest Atlas
Trail West Association,<a href='https://drive.google.com/file/d/1ZSg2lGik4kGJ6IpM1VWN76e7z6_JTVR4/view?usp=drivesdk' target='_blank'>Trail West Association </a>,Community,Chaffee,CO,2012,0,0,0.71,Colorado Forest Atlas
Tween Lakes Estates,<a href='https://drive.google.com/file/d/13tF46r4kYxqA32drdRyn4D8qYSsO3OA5/view?usp=drivesdk' target='_blank'>Tween Lakes Estates </a>,Community,La Plata,CO,2012,0,1,1.48,Colorado Forest Atlas
Valencia,<a href='https://drive.google.com/file/d/19cHzbND6x4MM-JAhOdIkSZZFp5_dpud7/view?usp=drivesdk' target='_blank'>Valencia </a>,County,Valencia,NM,2012,0,1,2765.62,"US Census Bureau, 2018 Cartographic Boundary Files"
Valley Park,<a href='https://drive.google.com/file/d/1-Xdwyyen48QOSRsjcKCFQTAdpoZ0mJ9k/view?usp=drivesdk' target='_blank'>Valley Park </a>,Community,Douglas,CO,2012,0,0,5.21,Colorado Forest Atlas
Vista De Oro,<a href='https://drive.google.com/file/d/1QlZCIXIVqJS_LChoVVLHolCm0FdzCw5-/view?usp=drivesdk' target='_blank'>Vista De Oro </a>,Community,La Plata,CO,2012,0,1,5.2,Colorado Forest Atlas
Walker Range,<a href='https://drive.google.com/file/d/1pipLL48uBekbXN42dIgQHb0Hwwko1vB9/view?usp=drivesdk' target='_blank'>Walker Range </a>,Community,Klamath,OR,2012,0,0,2797.96,Oregon Spatial Data Library
Zig Zag (Plan unavailable),Zig Zag (Plan unavailable),Community,Multnomah,OR,2012,0,0,0.13,CWPP
Baca,<a href='https://drive.google.com/file/d/1UApbgAYCfftnnuc6teuvUbH0TSK82bff/view?usp=drivesdk' target='_blank'>Baca </a>,County,Baca,CO,2011,0,0,6547.79,Colorado Forest Atlas
Bent,<a href='https://drive.google.com/file/d/1jY3FydYj5ECdsTfp12iBpHvjXH_NpZlB/view?usp=drivesdk' target='_blank'>Bent </a>,County,Bent,CO,2011,0,0,3991.34,Colorado Forest Atlas
Berryessa Highlands,<a href='https://drive.google.com/file/d/19Cah_q3-9cl9fvex5zoL7XFS4upHmx8L/view?usp=drivesdk' target='_blank'>Berryessa Highlands </a>,Community,Napa,CA,2011,0,0,7.78,CWPP
